,school_name,race,race_score
0,Rio San Gabriel Elementary School,Hispanic ,86%
1,Rio San Gabriel Elementary School,White ,6%
2,Rio San Gabriel Elementary School,Asian ,3%
3,Rio San Gabriel Elementary School,Black ,2%
4,Rio San Gabriel Elementary School,Filipino ,1%
5,Rio San Gabriel Elementary School,Two or more races ,1%
6,Rio San Gabriel Elementary School,Pacific Islander ,<1%
7,Rio San Gabriel Elementary School,Unspecified ,1%
8,Unsworth Elementary School,Hispanic ,90%
9,Unsworth Elementary School,White ,4%
10,Unsworth Elementary School,Black ,3%
11,Unsworth Elementary School,Asian ,1%
12,Unsworth Elementary School,Filipino ,1%
13,Unsworth Elementary School,Two or more races ,1%
14,Unsworth Elementary School,Native American ,<1%
15,Williams Elementary School,Hispanic ,90%
16,Williams Elementary School,White ,5%
17,Williams Elementary School,Asian ,2%
18,Williams Elementary School,Black ,2%
19,Williams Elementary School,Two or more races ,1%
20,Williams Elementary School,Filipino ,<1%
21,Griffiths Middle School,Hispanic ,90%
22,Griffiths Middle School,White ,4%
23,Griffiths Middle School,Asian ,2%
24,Griffiths Middle School,Black ,2%
25,Griffiths Middle School,Two or more races ,1%
26,Griffiths Middle School,Filipino ,<1%
27,Griffiths Middle School,Pacific Islander ,<1%
28,Griffiths Middle School,Native American ,<1%
29,Griffiths Middle School,Unspecified ,1%
30,Old River Elementary School,Hispanic ,92%
31,Old River Elementary School,White ,4%
32,Old River Elementary School,Black ,3%
33,Old River Elementary School,Asian ,1%
34,Old River Elementary School,Two or more races ,<1%
35,Old River Elementary School,Filipino ,<1%
36,Price Elementary School,Hispanic ,92%
37,Price Elementary School,White ,4%
38,Price Elementary School,Asian ,2%
39,Price Elementary School,Black ,1%
40,Price Elementary School,Two or more races ,<1%
41,Price Elementary School,Pacific Islander ,<1%
42,Price Elementary School,Native American ,<1%
43,Price Elementary School,Unspecified ,1%
44,Alameda Elementary School,Hispanic ,89%
45,Alameda Elementary School,White ,3%
46,Alameda Elementary School,Black ,3%
47,Alameda Elementary School,Asian ,2%
48,Alameda Elementary School,Filipino ,2%
49,Alameda Elementary School,Two or more races ,1%
50,Alameda Elementary School,Pacific Islander ,<1%
51,Alameda Elementary School,Native American ,<1%
52,West Middle School,Hispanic ,92%
53,West Middle School,White ,4%
54,West Middle School,Black ,2%
55,West Middle School,Asian ,1%
56,West Middle School,Filipino ,<1%
57,West Middle School,Pacific Islander ,<1%
58,West Middle School,Two or more races ,<1%
59,West Middle School,Unspecified ,1%
60,Downey High School,Hispanic ,88%
61,Downey High School,White ,5%
62,Downey High School,Black ,3%
63,Downey High School,Asian ,2%
64,Downey High School,Filipino ,1%
65,Downey High School,Two or more races ,<1%
66,Downey High School,Pacific Islander ,<1%
67,Downey High School,Native American ,<1%
68,Downey High School,Unspecified ,1%
69,Doty Middle School,Hispanic ,89%
70,Doty Middle School,White ,6%
71,Doty Middle School,Asian ,2%
72,Doty Middle School,Black ,2%
73,Doty Middle School,Filipino ,1%
74,Doty Middle School,Two or more races ,<1%
75,Doty Middle School,Pacific Islander ,<1%
76,Doty Middle School,Native American ,<1%
77,Lewis Elementary School,Hispanic ,88%
78,Lewis Elementary School,Black ,4%
79,Lewis Elementary School,White ,4%
80,Lewis Elementary School,Asian ,2%
81,Lewis Elementary School,Filipino ,2%
82,Lewis Elementary School,Two or more races ,1%
83,Lewis Elementary School,Pacific Islander ,<1%
84,Rio Hondo Elementary School,Hispanic ,91%
85,Rio Hondo Elementary School,White ,4%
86,Rio Hondo Elementary School,Black ,1%
87,Rio Hondo Elementary School,Asian ,1%
88,Rio Hondo Elementary School,Two or more races ,1%
89,Rio Hondo Elementary School,Filipino ,1%
90,Rio Hondo Elementary School,Native American ,<1%
91,Rio Hondo Elementary School,Pacific Islander ,<1%
92,Rio Hondo Elementary School,Unspecified ,1%
93,Sussman Middle School,Hispanic ,90%
94,Sussman Middle School,Black ,4%
95,Sussman Middle School,White ,3%
96,Sussman Middle School,Filipino ,2%
97,Sussman Middle School,Two or more races ,1%
98,Sussman Middle School,Asian ,1%
99,Sussman Middle School,Native American ,<1%
100,Sussman Middle School,Pacific Islander ,<1%
101,Warren High School,Hispanic ,89%
102,Warren High School,White ,4%
103,Warren High School,Black ,3%
104,Warren High School,Asian ,2%
105,Warren High School,Filipino ,1%
106,Warren High School,Two or more races ,<1%
107,Warren High School,Native American ,<1%
108,Warren High School,Pacific Islander ,<1%
109,Warren High School,Unspecified ,1%
110,Gallatin Elementary School,Hispanic ,83%
111,Gallatin Elementary School,White ,8%
112,Gallatin Elementary School,Asian ,4%
113,Gallatin Elementary School,Black ,2%
114,Gallatin Elementary School,Two or more races ,1%
115,Gallatin Elementary School,Filipino ,1%
116,Gallatin Elementary School,Pacific Islander ,1%
117,Imperial Elementary School,Hispanic ,92%
118,Imperial Elementary School,Black ,3%
119,Imperial Elementary School,White ,3%
120,Imperial Elementary School,Filipino ,1%
121,Imperial Elementary School,Asian ,1%
122,Ward Elementary School,Hispanic ,95%
123,Ward Elementary School,Black ,2%
124,Ward Elementary School,Asian ,1%
125,Ward Elementary School,White ,1%
126,Ward Elementary School,Filipino ,1%
127,Ward Elementary School,Two or more races ,<1%
128,Ward Elementary School,Native American ,<1%
129,Gauldin Elementary School,Hispanic ,90%
130,Gauldin Elementary School,White ,4%
131,Gauldin Elementary School,Black ,3%
132,Gauldin Elementary School,Filipino ,1%
133,Gauldin Elementary School,Pacific Islander ,1%
134,Gauldin Elementary School,Asian ,1%
135,Gauldin Elementary School,Two or more races ,<1%
136,Gauldin Elementary School,Native American ,<1%
137,Los Angeles County Special Education School,Hispanic ,90%
138,Los Angeles County Special Education School,Black ,5%
139,Los Angeles County Special Education School,White ,3%
140,Los Angeles County Special Education School,Asian ,1%
141,Los Angeles County Special Education School,Unspecified ,1%
142,Carpenter Elementary School,Hispanic ,91%
143,Carpenter Elementary School,Black ,3%
144,Carpenter Elementary School,White ,3%
145,Carpenter Elementary School,Filipino ,1%
146,Carpenter Elementary School,Pacific Islander ,1%
147,Carpenter Elementary School,Native American ,<1%
148,Carpenter Elementary School,Asian ,<1%
149,Carpenter Elementary School,Two or more races ,<1%
150,Carpenter Elementary School,Unspecified ,1%
151,Columbus (Christopher) High,Hispanic ,88%
152,Columbus (Christopher) High,White ,6%
153,Columbus (Christopher) High,Black ,4%
154,Columbus (Christopher) High,Asian ,1%
155,Columbus (Christopher) High,Filipino ,1%
156,Columbus (Christopher) High,Native American ,<1%
157,Columbus (Christopher) High,Two or more races ,<1%
158,Phoenix Academy Residential Education Center,Hispanic ,63%
159,Phoenix Academy Residential Education Center,White ,31%
160,Phoenix Academy Residential Education Center,Black ,6%
161,Woodruff Academy,Hispanic ,86%
162,Woodruff Academy,Asian ,5%
163,Woodruff Academy,Black ,5%
164,Woodruff Academy,White ,5%
