,school_name,race,race_score
0,Los Alamitos High School,White ,49%
1,Los Alamitos High School,Hispanic ,26%
2,Los Alamitos High School,Asian ,12%
3,Los Alamitos High School,Two or more races ,6%
4,Los Alamitos High School,Filipino ,4%
5,Los Alamitos High School,Black ,3%
6,Los Alamitos High School,Pacific Islander ,1%
7,Los Alamitos High School,Native American ,<1%
8,Rossmoor Elementary School,White ,47%
9,Rossmoor Elementary School,Hispanic ,27%
10,Rossmoor Elementary School,Asian ,12%
11,Rossmoor Elementary School,Two or more races ,11%
12,Rossmoor Elementary School,Black ,2%
13,Rossmoor Elementary School,Filipino ,2%
14,Rossmoor Elementary School,Pacific Islander ,<1%
15,Francis Hopkinson Elementary School,White ,54%
16,Francis Hopkinson Elementary School,Hispanic ,25%
17,Francis Hopkinson Elementary School,Asian ,10%
18,Francis Hopkinson Elementary School,Two or more races ,8%
19,Francis Hopkinson Elementary School,Black ,1%
20,Francis Hopkinson Elementary School,Filipino ,1%
21,Francis Hopkinson Elementary School,Unspecified ,1%
22,Richard Henry Lee Elementary School,White ,38%
23,Richard Henry Lee Elementary School,Hispanic ,35%
24,Richard Henry Lee Elementary School,Two or more races ,11%
25,Richard Henry Lee Elementary School,Asian ,10%
26,Richard Henry Lee Elementary School,Filipino ,4%
27,Richard Henry Lee Elementary School,Black ,2%
28,Richard Henry Lee Elementary School,Pacific Islander ,1%
29,Richard Henry Lee Elementary School,Native American ,<1%
30,Oak Middle School,White ,49%
31,Oak Middle School,Hispanic ,25%
32,Oak Middle School,Asian ,12%
33,Oak Middle School,Two or more races ,8%
34,Oak Middle School,Filipino ,3%
35,Oak Middle School,Black ,3%
36,Oak Middle School,Pacific Islander ,<1%
37,Oak Middle School,Native American ,<1%
38,Jack L. Weaver Elementary School,Asian ,35%
39,Jack L. Weaver Elementary School,White ,30%
40,Jack L. Weaver Elementary School,Hispanic ,20%
41,Jack L. Weaver Elementary School,Two or more races ,9%
42,Jack L. Weaver Elementary School,Filipino ,4%
43,Jack L. Weaver Elementary School,Black ,2%
44,Jack L. Weaver Elementary School,Pacific Islander ,1%
45,Los Alamitos Elementary School,Hispanic ,36%
46,Los Alamitos Elementary School,White ,29%
47,Los Alamitos Elementary School,Asian ,16%
48,Los Alamitos Elementary School,Two or more races ,10%
49,Los Alamitos Elementary School,Black ,4%
50,Los Alamitos Elementary School,Filipino ,3%
51,Los Alamitos Elementary School,Pacific Islander ,1%
52,Los Alamitos Elementary School,Unspecified ,1%
53,Sharon Christa Mcauliffe Middle School,White ,42%
54,Sharon Christa Mcauliffe Middle School,Hispanic ,27%
55,Sharon Christa Mcauliffe Middle School,Asian ,17%
56,Sharon Christa Mcauliffe Middle School,Two or more races ,8%
57,Sharon Christa Mcauliffe Middle School,Black ,3%
58,Sharon Christa Mcauliffe Middle School,Filipino ,2%
59,Sharon Christa Mcauliffe Middle School,Pacific Islander ,1%
60,Sharon Christa Mcauliffe Middle School,Native American ,<1%
