,school_name,race,race_score
0,Santa Fe High School,Hispanic ,90%
1,Santa Fe High School,White ,5%
2,Santa Fe High School,Black ,2%
3,Santa Fe High School,Filipino ,1%
4,Santa Fe High School,Asian ,1%
5,Santa Fe High School,Pacific Islander ,<1%
6,Santa Fe High School,Two or more races ,<1%
7,Santa Fe High School,Native American ,<1%
8,Santa Fe High School,Unspecified ,1%
9,Lake Center Middle,Hispanic ,89%
10,Lake Center Middle,White ,5%
11,Lake Center Middle,Black ,2%
12,Lake Center Middle,Asian ,2%
13,Lake Center Middle,Filipino ,1%
14,Lake Center Middle,Two or more races ,1%
15,Lake Center Middle,Native American ,<1%
16,Jersey Avenue Elementary School,Hispanic ,93%
17,Jersey Avenue Elementary School,White ,4%
18,Jersey Avenue Elementary School,Asian ,1%
19,Jersey Avenue Elementary School,Black ,1%
20,Jersey Avenue Elementary School,Filipino ,1%
21,Jersey Avenue Elementary School,Two or more races ,1%
22,Rancho Santa Gertrudes Elementary School,Hispanic ,96%
23,Rancho Santa Gertrudes Elementary School,White ,1%
24,Rancho Santa Gertrudes Elementary School,Black ,1%
25,Rancho Santa Gertrudes Elementary School,Asian ,1%
26,Rancho Santa Gertrudes Elementary School,Native American ,<1%
27,Rancho Santa Gertrudes Elementary School,Filipino ,<1%
28,Rancho Santa Gertrudes Elementary School,Pacific Islander ,<1%
29,Rancho Santa Gertrudes Elementary School,Unspecified ,1%
30,Lakeview Elementary School,Hispanic ,91%
31,Lakeview Elementary School,White ,4%
32,Lakeview Elementary School,Filipino ,1%
33,Lakeview Elementary School,Asian ,1%
34,Lakeview Elementary School,Black ,1%
35,Lakeview Elementary School,Two or more races ,1%
36,Lakeview Elementary School,Native American ,<1%
37,Lakeview Elementary School,Unspecified ,1%
