,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Albert Baxter Elementary School,"6
/10","14929 Cerritos Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1538-Albert-Baxter-Elementary-School/,Public district,K-6,370,27:1,Bellflower Unified School District
1,Bellflower High School,"5
/10","15301 McNab Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1539-Bellflower-High-School/,Public district,7-12,2434,25:1,Bellflower Unified School District
2,Thomas Jefferson Elementary School,"5
/10","10027 Rose Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1542-Thomas-Jefferson-Elementary-School/,Public district,K-6,515,27:1,Bellflower Unified School District
3,Ramona Elementary School,"5
/10","9351 Laurel Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1547-Ramona-Elementary-School/,Public district,K-6,534,26:1,Bellflower Unified School District
4,Ernie Pyle Elementary School,"4
/10","14500 Woodruff Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1546-Ernie-Pyle-Elementary-School/,Public district,K-6,449,31:1,Bellflower Unified School District
5,Washington Elementary School,"3
/10","9725 Jefferson Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1549-Washington-Elementary-School/,Public district,K-6,762,32:1,Bellflower Unified School District
6,Frank E. Woodruff Elementary School,"3
/10","15332 Eucalyptus Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1551-Frank-E.-Woodruff-Elementary-School/,Public district,K-6,483,28:1,Bellflower Unified School District
7,Adventist Union School,Unrated,"15548 Santa Ana Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/10619-Adventist-Union-School/,Private,K-8,60,N/A,N/A
8,Southland Christian Academy,Unrated,"16400 Woodruff Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/11263-Southland-Christian-Academy/,Private,PK-6,153,N/A,N/A
9,Christ Heritage Academy,Unrated,"10248 Alondra Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/11550-Christ-Heritage-Academy/,Private,K-6,22,N/A,N/A
10,Bellflower Alternative Education Center,Unrated,"16703 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/13824-Bellflower-Alternative-Education-Center/,Public district,K-12,11,4:1,Bellflower Unified School District
11,Bellflower Adult Education Center,Unrated,"9242 East Laurel Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/14881-Bellflower-Adult-Education-Center/,Public district,Ungraded,33,N/A,Bellflower Unified School District
12,Somerset Continuation High School,Unrated,"9242 E Laurel Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/1548-Somerset-Continuation-High-School/,Public district,7-12,183,17:1,Bellflower Unified School District
13,Creative Day Academy,Unrated,"8740 Ramona Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/15736-Creative-Day-Academy/,Private,PK,86,N/A,N/A
14,Veritas Christian School,Unrated,"9250 Harvard Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/16180-Veritas-Christian-School/,Private,K-12,N/A,N/A,N/A
15,Whole Heart Christian Academy,Unrated,"PO Box 39, Bellflower, CA, 90707",https://www.greatschools.org/california/bellflower/16190-Whole-Heart-Christian-Academy/,Private,K-12,29,N/A,N/A
16,Ymca-Los Cerritos,Unrated,"15530 Woodruff Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/17933-Ymca-Los-Cerritos/,Private,PK-K,N/A,N/A,N/A
17,Golden West Pre-School,Unrated,"10248 Alondra Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/18075-Golden-West-Pre-School/,Private,PK-K,N/A,N/A,N/A
18,Ernie Pyle Head Start Center,Unrated,"16703 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/18076-Ernie-Pyle-Head-Start-Center/,Private,PK,N/A,N/A,N/A
19,Bellflower United Methodist Pre-School,Unrated,"14525 Bellflower Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/18077-Bellflower-United-Methodist-Pre-School/,Private,PK,N/A,N/A,N/A
20,First Christian Church Dc,Unrated,"Po Box 759, Bellflower, CA, 90707",https://www.greatschools.org/california/bellflower/18078-First-Christian-Church-Dc/,Private,PK,N/A,N/A,N/A
21,Thomas Jefferson Ex Head Start,Unrated,"9980 Cedar Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/18079-Thomas-Jefferson-Ex-Head-Start/,Private,PK,N/A,N/A,N/A
22,Whitewood Child Development Center,Unrated,"16703 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/19778-Whitewood-Child-Development-Center/,Private,PK,N/A,N/A,N/A
23,Kaicyna Christian Academy,Unrated,"10522 Artesia Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/25981-Kaicyna-Christian-Academy/,Private,1-12,N/A,N/A,N/A
24,Quality Childrens Srvc Head Start,Unrated,"9447 Flower Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/27346-Quality-Childrens-Srvc-Head-Start/,Private,PK,N/A,N/A,N/A
25,St Dominic Savio Pre-K,Unrated,"9750 Foster Road, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/28376-St-Dominic-Savio-Pre-K/,Private,PK,N/A,N/A,N/A
26,Cannan Pre-School,Unrated,"17200 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29223-Cannan-Pre-School/,Private,PK,N/A,N/A,N/A
27,Craig Williams Head Start,Unrated,"6144 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29409-Craig-Williams-Head-Start/,Private,PK,N/A,N/A,N/A
28,Washington Head Start,Unrated,"9725 Jefferson Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29410-Washington-Head-Start/,Private,PK,N/A,N/A,N/A
29,Child Development Head Start Program,Unrated,"9301 Flower Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29431-Child-Development-Head-Start-Program/,Private,PK-K,N/A,N/A,N/A
30,Abercrombie Day Care,Unrated,"15302 Cornuta Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29666-Abercrombie-Day-Care/,Private,PK-K,N/A,N/A,N/A
31,Collins Sunnyday Child Care Center,Unrated,"9045 Louise Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/29993-Collins-Sunnyday-Child-Care-Center/,Private,PK,N/A,N/A,N/A
32,Las Flores Home Education Independent Study Academy,Unrated,"10039 Palm Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/31152-Las-Flores-Home-Education-Independent-Study-Academy/,Public district,K-12,223,24:1,Bellflower Unified School District
33,C.L. Prep Academy,Unrated,"PO BOX 786, Bellflower, CA, 90707",https://www.greatschools.org/california/bellflower/31284-C.L.-Prep-Academy/,Private,PK-5,12,N/A,N/A
34,California Advancing Pathways For Students In Los Angeles County,Unrated,"16703 Clark Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/32639-California-Advancing-Pathways-For-Students-In-Los-Angeles-County/,Public district,9-12,N/A,N/A,California Advancing Pathways For Students In Los Angeles County Roc P School District
35,Spectrumcenter Schools Downey,Unrated,"9625 Van Ruiten Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/33158-Spectrumcenter-Schools-Downey/,Private,1-12,58,N/A,N/A
36,St. Bernard School,Unrated,"9626 Park Street, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/7842-St.-Bernard-School/,Private,PK-8,185,N/A,N/A
37,St. Dominic Savio,Unrated,"9750 Foster Road, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/7843-St.-Dominic-Savio/,Private,K-8,311,N/A,N/A
38,St. John Bosco High School,Unrated,"13640 Bellflower Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/7996-St.-John-Bosco-High-School/,Private,9-12,842,N/A,N/A
39,Wonderland School,Unrated,"10440 Artesia Boulevard, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/8925-Wonderland-School/,Private,PK,341,N/A,N/A
40,Valley Christian Elementary School,Unrated,"17408 Grand Avenue, Bellflower, CA, 90706",https://www.greatschools.org/california/bellflower/9066-Valley-Christian-Elementary-School/,Private,K-6,453,N/A,N/A
