,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Whitney High School,"10
/10","16800 Shoemaker Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1430-Whitney-High-School/,Public district,7-12,1009,23:1,Abc Unified School District
1,Wittmann (Helen) Elementary School,"10
/10","16801 Yvette Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1432-Wittmann-Helen-Elementary-School/,Public district,K-6,620,26:1,Abc Unified School District
2,Carmenita Middle School,"9
/10","13435 East 166th Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1408-Carmenita-Middle-School/,Public district,7-8,679,27:1,Abc Unified School District
3,Cerritos Elementary School,"9
/10","13600 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1410-Cerritos-Elementary-School/,Public district,K-6,673,27:1,Abc Unified School District
4,Cerritos High School,"9
/10","12500 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1411-Cerritos-High-School/,Public district,9-12,2177,24:1,Abc Unified School District
5,Gonsalves (Joe A.) Elementary School,"9
/10","13650 Park Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1416-Gonsalves-Joe-A.-Elementary-School/,Public district,K-6,642,26:1,Abc Unified School District
6,Leal (Frank C.) Elementary School,"9
/10","12920 Droxford Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1421-Leal-Frank-C.-Elementary-School/,Public district,K-6,766,26:1,Abc Unified School District
7,Nixon (Patricia) Elementary School,"9
/10","19600 Jacob Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1424-Nixon-Patricia-Elementary-School/,Public district,K-6,785,27:1,Abc Unified School District
8,Stowers(Cecil B.) Elementary School,"9
/10","13350 Beach Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1427-StowersCecil-B.-Elementary-School/,Public district,K-6,670,29:1,Abc Unified School District
9,Bragg Elementary School,"8
/10","11501 Bos Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1406-Bragg-Elementary-School/,Public district,K-6,655,27:1,Abc Unified School District
10,Carver (Charles J.) Elementary School,"8
/10","19200 Ely Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1409-Carver-Charles-J.-Elementary-School/,Public district,K-6,618,26:1,Abc Unified School District
11,Gahr (Richard) High School,"8
/10","11111 Artesia Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1415-Gahr-Richard-High-School/,Public district,9-12,1927,23:1,Abc Unified School District
12,Tetzlaff (Martin B.) Middle School,"7
/10","12351 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1428-Tetzlaff-Martin-B.-Middle-School/,Public district,7-8,646,25:1,Abc Unified School District
13,Haskell (Pliny Fisk) Middle School,"6
/10","11525 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1417-Haskell-Pliny-Fisk-Middle-School/,Public district,7-8,556,23:1,Abc Unified School District
14,Juarez (Benito) Elementary School,"5
/10","11939 Aclare Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1419-Juarez-Benito-Elementary-School/,Public district,K-6,339,22:1,Abc Unified School District
