,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Oxford Academy,"10
/10","5172 Orange Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3612-Oxford-Academy/,Public district,7-12,1250,64:1,Anaheim Union High School District
1,Cypress High School,"9
/10","9801 Valley View Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3603-Cypress-High-School/,Public district,9-12,2903,28:1,Anaheim Union High School District
2,Margaret Landell Elementary School,"9
/10","9739 Denni Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3690-Margaret-Landell-Elementary-School/,Public district,K-6,760,26:1,Cypress Elementary School District
3,Juliet Morris Elementary School,"9
/10","9952 Graham Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3692-Juliet-Morris-Elementary-School/,Public district,K-6,703,26:1,Cypress Elementary School District
4,Lexington Junior High School,"8
/10","4351 Orange Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3608-Lexington-Junior-High-School/,Public district,7-8,1480,26:1,Anaheim Union High School District
5,A. E. Arnold Elementary School,"8
/10","9281 Denni Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3685-A.-E.-Arnold-Elementary-School/,Public district,K-6,739,24:1,Cypress Elementary School District
6,Frank Vessels Elementary School,"8
/10","5900 Cathy Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3694-Frank-Vessels-Elementary-School/,Public district,K-6,683,23:1,Cypress Elementary School District
7,Clara J. King Elementary School,"7
/10","8710 Moody Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/3689-Clara-J.-King-Elementary-School/,Public district,K-6,569,23:1,Cypress Elementary School District
8,Alton School,Unrated,"5400 Myra Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/10064-Alton-School/,Private,8-12,36,N/A,N/A
9,Montessori Children's House,Unrated,"8271 Gay Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/15617-Montessori-Childrens-House/,Private,PK-K,N/A,N/A,N/A
10,Wisdom Mission School,Unrated,"5851 Newman Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/16321-Wisdom-Mission-School/,Private,6-12,20,N/A,N/A
11,Aslan Academy,Unrated,"9734 Paseo De Oro, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/17241-Aslan-Academy/,Private,1-12,N/A,N/A,N/A
12,Carousel Pre-School & Dcc,Unrated,"5890 Cathy Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18201-Carousel-Pre-School--Dcc/,Private,PK,N/A,N/A,N/A
13,A Child's Adventure Preschool & Day Care Center,Unrated,"10160 Denni St, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18709-A-Childs-Adventure-Preschool--Day-Care-Center/,Private,PK,N/A,N/A,N/A
14,Oc Kids Day Care,Unrated,"10191 Saint Alban Street, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18710-Oc-Kids-Day-Care/,Private,PK,N/A,N/A,N/A
15,Cypress Early Learning Center,Unrated,"4539 Cerritos Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18711-Cypress-Early-Learning-Center/,Private,PK,N/A,N/A,N/A
16,Child's Adventure Day Care,Unrated,"4545 Myra Ave, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18712-Childs-Adventure-Day-Care/,Private,PK,N/A,N/A,N/A
17,Little School Of The West,Unrated,"5471 Cerritos Avenue, Cypress, CA, 90630",https://www.greatschools.org/california/cypress/18714-Little-School-Of-The-West/,Private,PK-K,81,N/A,N/A
