,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Rio San Gabriel Elementary School,"7
/10","9338 Gotham Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/1672-Rio-San-Gabriel-Elementary-School/,Public district,K-5,825,24:1,Downey Unified School District
1,Unsworth Elementary School,"7
/10","9001 Lindsey Avenue, Downey, CA, 90240",https://www.greatschools.org/california/downey/1674-Unsworth-Elementary-School/,Public district,K-5,705,24:1,Downey Unified School District
2,Williams Elementary School,"7
/10","7530 Arnett Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/1678-Williams-Elementary-School/,Public district,K-3,784,24:1,Downey Unified School District
3,Griffiths Middle School,"7
/10","9633 Tweedy Lane, Downey, CA, 90240",https://www.greatschools.org/california/downey/1665-Griffiths-Middle-School/,Public district,6-8,1318,24:1,Downey Unified School District
4,Old River Elementary School,"7
/10","11995 Old River School Road, Downey, CA, 90242",https://www.greatschools.org/california/downey/1668-Old-River-Elementary-School/,Public district,4-5,662,27:1,Downey Unified School District
5,Price Elementary School,"7
/10","9525 Tweedy Lane, Downey, CA, 90240",https://www.greatschools.org/california/downey/1670-Price-Elementary-School/,Public district,K-5,851,24:1,Downey Unified School District
6,Alameda Elementary School,"6
/10","8613 Alameda Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/1658-Alameda-Elementary-School/,Public district,K-3,632,20:1,Downey Unified School District
7,West Middle School,"6
/10","11985 Old River School Road, Downey, CA, 90242",https://www.greatschools.org/california/downey/1677-West-Middle-School/,Public district,6-8,1299,27:1,Downey Unified School District
8,Downey High School,"6
/10","11040 Brookshire Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/1661-Downey-High-School/,Public district,9-12,4117,25:1,Downey Unified School District
9,Doty Middle School,"6
/10","10301 Woodruff Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/1662-Doty-Middle-School/,Public district,6-8,1401,26:1,Downey Unified School District
10,Lewis Elementary School,"6
/10","13220 Bellflower Boulevard, Downey, CA, 90242",https://www.greatschools.org/california/downey/1667-Lewis-Elementary-School/,Public district,K-5,849,26:1,Downey Unified School District
11,Rio Hondo Elementary School,"5
/10","7731 Muller Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/1671-Rio-Hondo-Elementary-School/,Public district,K-5,785,24:1,Downey Unified School District
12,Sussman Middle School,"5
/10","12500 Birchdale Avenue, Downey, CA, 90242",https://www.greatschools.org/california/downey/1673-Sussman-Middle-School/,Public district,6-8,1156,22:1,Downey Unified School District
13,Warren High School,"5
/10","8141 De Palma Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/1676-Warren-High-School/,Public district,9-12,3592,26:1,Downey Unified School District
14,Gallatin Elementary School,"5
/10","9513 Brookshire Avenue, Downey, CA, 90240",https://www.greatschools.org/california/downey/1663-Gallatin-Elementary-School/,Public district,K-5,754,24:1,Downey Unified School District
15,Imperial Elementary School,"5
/10","8133 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/downey/1666-Imperial-Elementary-School/,Public district,K-3,524,21:1,Downey Unified School District
16,Ward Elementary School,"4
/10","8851 Adoree Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/1675-Ward-Elementary-School/,Public district,K-3,458,22:1,Downey Unified School District
17,Gauldin Elementary School,"3
/10","9724 Spry Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/1664-Gauldin-Elementary-School/,Public district,K-5,549,24:1,Downey Unified School District
18,Creative Beginnings,Unrated,"8033 3rd Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/10015-Creative-Beginnings/,Private,K-6,124,N/A,N/A
19,Los Angeles County Special Education School,Unrated,"9300 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/downey/12511-Los-Angeles-County-Special-Education-School/,Public district,K-12,208,34:1,Los Angeles County Office Of Education School District
20,Maria Montessori House of Children School,Unrated,"12067 Paramount, Downey, CA, 90242",https://www.greatschools.org/california/downey/12704-Maria-Montessori-House-Of-Children-School/,Private,1-5,N/A,N/A,N/A
21,Ready Set Grow,Unrated,"10225 Old River Sch Rd, Downey, CA, 90241",https://www.greatschools.org/california/downey/12783-Ready-Set-Grow/,Private,PK,N/A,N/A,N/A
22,Downey Adult,Unrated,"12340 Woodruff Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/14390-Downey-Adult/,Public district,Ungraded,N/A,N/A,Downey Unified School District
23,Los Angeles County Rop School,Unrated,"9300 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/downey/14950-Los-Angeles-County-Rop-School/,Public district,9-12,N/A,N/A,Los Angeles County Rop School District
24,"Around The World Children Center, Inc.",Unrated,"10441 Lakewood Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/15150-Around-The-World-Children-Center-Inc./,Private,PK-K,60,N/A,N/A
25,Rancho Los Amigos Children's Center,Unrated,"7755 Golondrinas Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/15478-Rancho-Los-Amigos-Childrens-Center/,Private,PK-K,32,N/A,N/A
26,Creative Beginnings School,Unrated,"10910 Paramount Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/15631-Creative-Beginnings-School/,Private,K-6,N/A,N/A,N/A
27,Downey Christian School,Unrated,"10335 Paramount Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/15632-Downey-Christian-School/,Private,K-8,80,N/A,N/A
28,Immaculate Heart Academy,Unrated,"8561 Via Amorita, Downey, CA, 90241",https://www.greatschools.org/california/downey/16053-Immaculate-Heart-Academy/,Private,1-12,N/A,N/A,N/A
29,Sundance Academy,Unrated,"7300 Nada Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/16167-Sundance-Academy/,Private,1-12,N/A,N/A,N/A
30,Carpenter Elementary School,Unrated,"9439 Foster Road, Downey, CA, 90242",https://www.greatschools.org/california/downey/1659-Carpenter-Elementary-School/,Public district,4-5,414,26:1,Downey Unified School District
31,Columbus (Christopher) High,Unrated,"12330 Woodruff Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/1660-Columbus-Continuation-School/,Public district,9-12,299,16:1,Downey Unified School District
32,Downey United Methodist Nursery School,Unrated,"10801 Downey Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/18804-Downey-United-Methodist-Nursery-School/,Private,PK,N/A,N/A,N/A
33,Creative Beginnings,Unrated,"10910 Paramont Blvd, Downey, CA, 90241",https://www.greatschools.org/california/downey/18805-Creative-Beginnings/,Private,K-5,N/A,N/A,N/A
34,Kirkwood Christan School,Unrated,"10822 Brookshire Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/18806-Kirkwood-Christan-School/,Private,PK-K,N/A,N/A,N/A
35,Downey Family YMCA Pre-School,Unrated,"11531 Downey Ave, Downey, CA, 90241",https://www.greatschools.org/california/downey/18807-Downey-Family-YMCA-Pre-School/,Private,PK,N/A,N/A,N/A
36,Christ Lutheran Child Care Center,Unrated,"7707 Florence Avenue, Downey, CA, 90240",https://www.greatschools.org/california/downey/18808-Christ-Lutheran-Child-Care-Center/,Private,PK,N/A,N/A,N/A
37,Maria Montessori House of Children School,Unrated,"9036 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/downey/18810-Maria-Montessori-House-Of-Children-School/,Private,K-4,16,N/A,N/A
38,Children's Station Day Care,Unrated,"Po Box 40439, Downey, CA, 90239",https://www.greatschools.org/california/downey/20812-Childrens-Station-Day-Care/,Private,PK,N/A,N/A,N/A
39,Children's Academy Of Success,Unrated,"10839 La Reina Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/23840-Childrens-Academy-Of-Success/,Private,PK,48,N/A,N/A
40,Creative Beginnings Elementary,Unrated,"8033 3rd Street, Downey, CA, 90241",https://www.greatschools.org/california/downey/24224-Creative-Beginnings-Elementary/,Private,K-5,105,N/A,N/A
41,Our Lady of Perpetual Help,Unrated,"10441 S Downey Ave, Downey, CA, 90241",https://www.greatschools.org/california/downey/24436-Our-Lady-Of-Perpetual-Help/,Private,K-8,N/A,N/A,N/A
42,Phoenix Academy Residential Education Center,Unrated,"9300 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/lake-view-terrace/25429-Phoenix-Academy-Residential-Education-Center/,Public district,7-12,16,7:1,Los Angeles County Office Of Education School District
43,Sunlite Pre-School,Unrated,"9020 Imperial Highway, Downey, CA, 90242",https://www.greatschools.org/california/downey/27549-Sunlite-Pre-School/,Private,PK,N/A,N/A,N/A
44,Clark Center Head Start,Unrated,"12830 Columbia Way, Downey, CA, 90242",https://www.greatschools.org/california/downey/29219-Clark-Center-Head-Start/,Private,PK,N/A,N/A,N/A
45,Desert Reign Pre-School,Unrated,"11610 Lakewood Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/29844-Desert-Reign-Pre-School/,Private,PK,N/A,N/A,N/A
46,Children's Academy-Success,Unrated,"10839 La Reina Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/30102-Childrens-Academy-Success/,Private,PK-K,N/A,N/A,N/A
47,Downey Christian Elc,Unrated,"10335 Paramount Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/30407-Downey-Christian-Elc/,Private,PK,N/A,N/A,N/A
48,Creative Beginnings Pre-School,Unrated,"10910 Paramount Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/30433-Creative-Beginnings-Pre-School/,Private,PK,N/A,N/A,N/A
49,Woodruff Academy,Unrated,"12330 Woodruff Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/32601-Downey-Community-Day/,Public district,7-12,21,6:1,Downey Unified School District
50,Kirkwood Christian Schools,Unrated,"11115 Pangborn Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/33056-Kirkwood-Christian-Schools/,Private,K-5,118,N/A,N/A
51,Downey Christian School,Unrated,"8219 Florence Avenue, Downey, CA, 90240",https://www.greatschools.org/california/downey/33429-Downey-Christian-School/,Private,PK-8,177,N/A,N/A
52,Kirkwood Christian Schools,Unrated,"11115 Pangborn Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/33494-Kirkwood-Christian-Schools/,Private,PK-5,214,N/A,N/A
53,Rancho Los Amigos Childrens Center,Unrated,"7755 Golondrinas Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/33589-Rancho-Los-Amigos-Childrens-Center/,Private,PK-K,78,N/A,N/A
54,St Pius X - St. Matthias High School,Unrated,"7851 Gardendale Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/33650-St-Pius-X---St.-Matthias-High-School/,Private,9-12,433,N/A,N/A
55,St. Raymond Elementary School,Unrated,"12320 Paramount Boulevard, Downey, CA, 90242",https://www.greatschools.org/california/downey/7852-St.-Raymond-Elementary-School/,Private,K-8,276,N/A,N/A
56,Our Lady Of Perpetual Help Elementary School,Unrated,"10441 Downey Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/8007-Our-Lady-Of-Perpetual-Help-Elementary-School/,Private,K-8,315,N/A,N/A
57,St. Pius X - St. Matthias Academy,Unrated,"7851 E. Gardendale Street, Downey, CA, 90242",https://www.greatschools.org/california/downey/8059-St.-Pius-X---St.-Matthias-Academy/,Private,9-12,306,N/A,N/A
58,St. Mark's Elementary School,Unrated,"10354 Downey Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/8451-St.-Marks-Elementary-School/,Private,PK-8,75,N/A,N/A
59,Kirkwood Christian Schools,Unrated,"11115 Pangborn Avenue, Downey, CA, 90241",https://www.greatschools.org/california/downey/8792-Kirkwood-Christian-Schools/,Private,K-5,126,N/A,N/A
60,Montessori Children's Academy,Unrated,"7515 Firestone Boulevard, Downey, CA, 90241",https://www.greatschools.org/california/downey/8823-Montessori-Childrens-Academy/,Private,PK-6,91,N/A,N/A
61,Calvary Chapel Christian,Unrated,"12808 Woodruff Avenue, Downey, CA, 90242",https://www.greatschools.org/california/downey/9131-Calvary-Chapel-Christian/,Private,PK-12,778,N/A,N/A
