,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Cleveland Elementary School,"9
/10","4760 Hackett Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2552-Cleveland-Elementary-School/,Public district,K-5,469,21:1,Long Beach Unified School District
1,Odyssey Stem Academy,"8
/10","3701 Michelson Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/32629-Odyssey-Stem-Academy/,Public district,9-12,136,N/A,Paramount Unified School District
2,Stephen Foster Elementary School,"7
/10","5223 Bigelow Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/1540-Stephen-Foster-Elementary-School/,Public district,K-6,688,30:1,Bellflower Unified School District
3,Gompers K-8,"7
/10","5206 Briercrest Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2562-Gompers-K-8/,Public district,K-8,700,24:1,Long Beach Unified School District
4,Holmes Elementary School,"7
/10","5020 Barlin Avenue, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2568-Holmes-Elementary-School/,Public district,K-5,383,20:1,Long Beach Unified School District
5,Macarthur Elementary School,"7
/10","6011 Centralia Street, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2585-Macarthur-Elementary-School/,Public district,K-5,374,25:1,Long Beach Unified School District
6,Madison Elementary School,"7
/10","2801 Bomberry Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2586-Madison-Elementary-School/,Public district,K-5,357,22:1,Long Beach Unified School District
7,Intensive Learning Center,"6
/10","4718 Michelson Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/12653-Intensive-Learning-Center/,Public district,K-6,761,25:1,Bellflower Unified School District
8,Palms Elementary School,"6
/10","12445 207th Street, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1425-Palms-Elementary-School/,Public district,K-6,657,27:1,Abc Unified School District
9,Riley Elementary School,"6
/10","3319 Sandwood Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2599-Riley-Elementary-School/,Public district,K-5,383,21:1,Long Beach Unified School District
10,Aloha Elementary School,"5
/10","11737 214th Street, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1404-Aloha-Elementary-School/,Public district,K-6,356,24:1,Abc Unified School District
11,Artesia High School,"5
/10","12108 Del Amo Boulevard, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1405-Artesia-High-School/,Public district,9-12,1431,19:1,Abc Unified School District
12,Willow Elementary School,"5
/10","11733 205th Street, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1431-Willow-Elementary-School/,Public district,K-6,434,27:1,Abc Unified School District
13,Esther Lindstrom Elementary School,"5
/10","5900 Canehill Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/1544-Esther-Lindstrom-Elementary-School/,Public district,K-6,795,27:1,Bellflower Unified School District
14,Mayfair High School,"5
/10","6000 Woodruff Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/1545-Mayfair-High-School/,Public district,7-12,2889,27:1,Bellflower Unified School District
