,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Prisk Elementary School,"10
/10","2375 Fanwood Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2597-Prisk-Elementary-School/,Public district,K-5,567,22:1,Long Beach Unified School District
1,Eunice Sato Academy Of Math & Science,"10
/10","1100 Iroquois Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math--Science/,Public district,9-12,402,19:1,Long Beach Unified School District
2,Gant Elementary School,"9
/10","1854 North Britton Drive, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2560-Gant-Elementary-School/,Public district,K-5,562,23:1,Long Beach Unified School District
3,Henry K-8,"9
/10","3720 Canehill Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2566-Henry-K-8/,Public district,K-5,846,26:1,Long Beach Unified School District
4,Kettering Elementary School,"9
/10","550 Silvera Avenue, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/2576-Kettering-Elementary-School/,Public district,K-5,333,22:1,Long Beach Unified School District
5,Los Cerritos Elementary School,"9
/10","515 West San Antonio Drive, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/2583-Los-Cerritos-Elementary-School/,Public district,K-5,527,26:1,Long Beach Unified School District
6,Naples Elementary School,"9
/10","5537 East The Toledo, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/2594-Naples-Elementary-School/,Public district,K-5,347,23:1,Long Beach Unified School District
7,Newcomb Academy,"9
/10","3351 Val Verde Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2595-Newcomb-Academy/,Public district,K-8,791,22:1,Long Beach Unified School District
8,Fremont Elementary School,"8
/10","4000 East 4th Street, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/2559-Fremont-Elementary-School/,Public district,K-5,501,26:1,Long Beach Unified School District
9,Tincher Preparatory School,"8
/10","1701 Petaluma Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2608-Tincher-Preparatory-School/,Public district,K-8,718,23:1,Long Beach Unified School District
10,IVA - Intellectual Virtues Academy Middle School,"8
/10","3601 Linden Avenue, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/26519-IVA---Intellectual-Virtues-Academy-Middle-School/,Public charter,6-8,231,23:1,Intellectual Virtues Academy of Long Beach District
11,Ernest S. McBride Sr. High School,"8
/10","7025 Parkcrest Street, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/27235-Ernest-S.-McBride-Sr.-High-School/,Public district,9-12,744,21:1,Long Beach Unified School District
12,Helen Keller Middle,"8
/10","7020 East Brittain Street, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/32046-Helen-Keller-Middle/,Public district,6-8,358,26:1,Long Beach Unified School District
13,Burcham Elementary School,"7
/10","5610 East Monlaco Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2546-Burcham-Elementary-School/,Public district,K-5,430,23:1,Long Beach Unified School District
14,Carver Elementary School,"7
/10","5335 East Pavo Street, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2551-Carver-Elementary-School/,Public district,K-5,529,25:1,Long Beach Unified School District
15,Cubberley K-8,"7
/10","3200 Monogram Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2554-Cubberley-K-8/,Public district,K-8,1004,23:1,Long Beach Unified School District
16,Emerson Parkside Academy,"7
/10","2625 Josie Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2557-Emerson-Parkside-Academy/,Public district,K-5,448,24:1,Long Beach Unified School District
17,Longfellow Elementary School,"7
/10","3800 Olive Avenue, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/2582-Longfellow-Elementary-School/,Public district,K-5,990,27:1,Long Beach Unified School District
18,Lowell Elementary School,"7
/10","5201 East Broadway, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/2584-Lowell-Elementary-School/,Public district,K-5,656,23:1,Long Beach Unified School District
19,Marshall Academy Of The Arts,"7
/10","5870 East Wardlow Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2588-Marshall-Academy-Of-The-Arts/,Public district,6-8,886,24:1,Long Beach Unified School District
20,Rogers Middle School,"7
/10","365 Monrovia Avenue, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/2601-Rogers-Middle-School/,Public district,6-8,874,25:1,Long Beach Unified School District
21,Addams Elementary School,"6
/10","5320 Pine Avenue, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/2537-Addams-Elementary-School/,Public district,K-5,909,25:1,Long Beach Unified School District
22,Bancroft Middle School,"6
/10","5301 East Centralia Street, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2539-Bancroft-Middle-School/,Public district,6-8,935,25:1,Long Beach Unified School District
