,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Los Alamitos High School,"10
/10","3591 West Cerritos Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3849-Los-Alamitos-High-School/,Public district,9-12,3137,26:1,Los Alamitos Unified School District
1,Rossmoor Elementary School,"10
/10","3272 Shakespeare Drive, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3853-Rossmoor-Elementary-School/,Public district,K-5,629,23:1,Los Alamitos Unified School District
2,Francis Hopkinson Elementary School,"9
/10","12582 Kensington Road, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3845-Francis-Hopkinson-Elementary-School/,Public district,K-5,686,25:1,Los Alamitos Unified School District
3,Richard Henry Lee Elementary School,"9
/10","11481 Foster Road, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3847-Richard-Henry-Lee-Elementary-School/,Public district,K-5,648,18:1,Los Alamitos Unified School District
4,Oak Middle School,"9
/10","10821 Oak Street, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3852-Oak-Middle-School/,Public district,6-8,1187,27:1,Los Alamitos Unified School District
5,Jack L. Weaver Elementary School,"9
/10","11872 Wembley Road, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3854-Jack-L.-Weaver-Elementary-School/,Public district,K-5,675,20:1,Los Alamitos Unified School District
6,Los Alamitos Elementary School,"8
/10","10862 Bloomfield Street, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3848-Los-Alamitos-Elementary-School/,Public district,K-5,728,22:1,Los Alamitos Unified School District
7,Sharon Christa Mcauliffe Middle School,"8
/10","4112 West Cerritos Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/3850-Sharon-Christa-Mcauliffe-Middle-School/,Public district,6-8,1211,25:1,Los Alamitos Unified School District
8,Montessori Greenhouse Schools,Unrated,"4001 Howard Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/12811-Montessori-Greenhouse-Schools/,Private,PK-K,49,N/A,N/A
9,Belmont Shores Children's Center,Unrated,"4181 Green Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/15633-Belmont-Shores-Childrens-Center/,Private,PK,N/A,N/A,N/A
10,Acme Academy,Unrated,"11071 Langley Drive, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/17239-Acme-Academy/,Private,1-12,N/A,N/A,N/A
11,Cerritos Learning Tree Pre-School,Unrated,"4181 Green Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/17935-Cerritos-Learning-Tree-Pre-School/,Private,PK,N/A,N/A,N/A
12,Los Alamitos Child Development Center,Unrated,"11872 Wembley Road, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/19963-Los-Alamitos-Child-Development-Center/,Private,PK,N/A,N/A,N/A
13,Lil Cottonwood Pre-School,Unrated,"Po Box 324, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/19964-Lil-Cottonwood-Pre-School/,Private,PK,N/A,N/A,N/A
14,Mayflower Pre-School,Unrated,"4111 Katella Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/19965-Mayflower-Pre-School/,Private,PK,N/A,N/A,N/A
15,Lil Cottonwd Playgroup,Unrated,"Po Box 324, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/27558-Lil-Cottonwd-Playgroup/,Private,PK,N/A,N/A,N/A
16,Precious Life Infant Dc,Unrated,"Po Box 414, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/28220-Precious-Life-Infant-Dc/,Private,PK,N/A,N/A,N/A
17,Belmont Shore Children's Center,Unrated,"4181 Green Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/28487-Belmont-Shore-Childrens-Center/,Private,PK,N/A,N/A,N/A
18,Little Lamb Christian Cc,Unrated,"4000 Green Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/29407-Little-Lamb-Christian-Cc/,Private,PK,N/A,N/A,N/A
19,St. Hedwig Elementary School,Unrated,"3591 Orangewood Avenue, Los Alamitos, CA, 90720",https://www.greatschools.org/california/los-alamitos/8263-St.-Hedwig-Elementary-School/,Private,K-8,442,N/A,N/A
