,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Lakeland Elementary School,"7
/10","11224 Bombardier Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2527-Lakeland-Elementary-School/,Public district,K-5,346,23:1,Little Lake City Elementary School District
1,Lakeside Middle School,"7
/10","11000 Kenney Street, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2528-Lakeside-Middle-School/,Public district,6-8,601,20:1,Little Lake City Elementary School District
2,William W. Orr Elementary School,"7
/10","12130 Jersey Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2530-William-W.-Orr-Elementary-School/,Public district,K-5,399,22:1,Little Lake City Elementary School District
3,Studebaker Elementary School,"7
/10","11800 Halcourt Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2532-Studebaker-Elementary-School/,Public district,K-5,469,22:1,Little Lake City Elementary School District
4,Julia B. Morrison Elementary School,"7
/10","13510 Maidstone Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2734-Julia-B.-Morrison-Elementary-School/,Public district,K-5,714,23:1,Norwalk-La Mirada Unified School District
5,Cresson Elementary School,"6
/10","11650 Cresson Street, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2524-Cresson-Elementary-School/,Public district,K-5,271,18:1,Little Lake City Elementary School District
6,Paddison Elementary School,"6
/10","12100 Crewe Street, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2531-Paddison-Elementary-School/,Public district,K-5,411,21:1,Little Lake City Elementary School District
7,D. D. Johnston Elementary School,"6
/10","13421 Fairford Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2728-D.-D.-Johnston-Elementary-School/,Public district,K-5,386,21:1,Norwalk-La Mirada Unified School District
8,Los Alisos Middle School,"5
/10","14800 Jersey Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/11748-Los-Alisos-Middle-School/,Public district,6-8,1181,24:1,Norwalk-La Mirada Unified School District
9,Norwalk High School,"5
/10","11356 Leffingwell Road, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2736-Norwalk-High-School/,Public district,9-12,2011,23:1,Norwalk-La Mirada Unified School District
10,Corvallis Middle School,"4
/10","11032 Leffingwell Road, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2714-Corvallis-Middle-School/,Public district,6-8,750,24:1,Norwalk-La Mirada Unified School District
11,John Dolland Elementary School,"4
/10","15021 Bloomfield Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2715-John-Dolland-Elementary-School/,Public district,K-5,500,21:1,Norwalk-La Mirada Unified School District
12,Anna M. Glazier Elementary School,"4
/10","10932 Excelsior Drive, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2723-Anna-M.-Glazier-Elementary-School/,Public district,K-5,531,21:1,Norwalk-La Mirada Unified School District
13,Loretta Lampton Elementary School,"4
/10","14716 Elmcroft Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2731-Loretta-Lampton-Elementary-School/,Public district,K-5,568,20:1,Norwalk-La Mirada Unified School District
14,New River Elementary School,"4
/10","13432 S. HalCt. Ave., Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2735-New-River-Elementary-School/,Public district,K-5,354,22:1,Norwalk-La Mirada Unified School District
15,John H. Nuffer Elementary School,"4
/10","14821 Jersey Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2737-John-H.-Nuffer-Elementary-School/,Public district,K-5,291,15:1,Norwalk-La Mirada Unified School District
16,Arturo Sanchez Elementary School,"4
/10","11960 162nd Street, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2738-Arturo-Sanchez-Elementary-School/,Public district,K-5,301,19:1,Norwalk-La Mirada Unified School District
17,Earl E. Edmondson Elementary School,"3
/10","15121 Grayland Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2718-Earl-E.-Edmondson-Elementary-School/,Public district,K-5,463,26:1,Norwalk-La Mirada Unified School District
18,John H. Glenn High School,"3
/10","13520 Shoemaker Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2724-John-H.-Glenn-High-School/,Public district,9-12,1248,19:1,Norwalk-La Mirada Unified School District
19,Thomas B. Moffitt Elementary School,"3
/10","13323 Goller Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2733-Thomas-B.-Moffitt-Elementary-School/,Public district,K-5,409,20:1,Norwalk-La Mirada Unified School District
20,Nettie L. Waite Middle School,"3
/10","14320 Norwalk Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/2739-Nettie-L.-Waite-Middle-School/,Public district,6-8,567,20:1,Norwalk-La Mirada Unified School District
21,New Harvest Christian,Unrated,"11364 Imperial Highway, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/10296-New-Harvest-Christian/,Private,K-12,47,N/A,N/A
22,Norwalk-La Mirada Adult,Unrated,"15711 Pioneer Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/14060-Norwalk-La-Mirada-Adult/,Public district,Ungraded,N/A,N/A,Norwalk-La Mirada Unified School District
23,Joyland Pre School,Unrated,"12645 Pioneer Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/16055-Joyland-Pre-School/,Private,PK,103,N/A,N/A
24,Three In One Christian Academy,Unrated,"11242 Ferina Street, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/16175-Three-In-One-Christian-Academy/,Private,K-11,7,N/A,N/A
25,Pioneer Baptist Elementary School,Unrated,"11717 Pioneer Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/17207-Pioneer-Baptist-Elementary-School/,Private,K-12,14,N/A,N/A
26,Cerritos College Child Development Center,Unrated,"11110 Alondra Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20804-Cerritos-College-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
27,Sunny Day Pre-School,Unrated,"11526 Rosecrans Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20805-Sunny-Day-Pre-School/,Private,PK,N/A,N/A,N/A
28,Tlc Christian Learning Center,Unrated,"11553 Leffingwell Road, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20806-Tlc-Christian-Learning-Center/,Private,PK-K,N/A,N/A,N/A
29,Trinity Lutheran Pre-School,Unrated,"11609 Studebaker Road, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20807-Trinity-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
30,Bit Of Heaven Day Care,Unrated,"12191 Firestone Boulevard, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20809-Bit-Of-Heaven-Day-Care/,Private,PK,N/A,N/A,N/A
31,St Linus Pre-Kindergarten,Unrated,"13913 Shoemaker Avenue, Norwalk, CA, 90650",https://www.greatschools.org/california/norwalk/20813-St-Linus-Pre-Kindergarten/,Private,PK,N/A,N/A,N/A
