,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Santa Fe High School,"8
/10","10400 Orr and Day Road, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/3064-Santa-Fe-High-School/,Public district,9-12,2156,25:1,Whittier Union High School District
1,Lake Center Middle,"7
/10","10503 Pioneer Boulevard, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/2526-Lake-Center-Middle/,Public district,6-8,906,22:1,Little Lake City Elementary School District
2,Jersey Avenue Elementary School,"6
/10","9400 Jersey Avenue, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/2525-Jersey-Avenue-Elementary-School/,Public district,K-5,442,22:1,Little Lake City Elementary School District
3,Rancho Santa Gertrudes Elementary School,"6
/10","11233 Charlesworth Road, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/2536-Rancho-Santa-Gertrudes-Elementary-School/,Public district,K-6,358,22:1,Los Nietos School District
4,Lakeview Elementary School,"5
/10","11500 Joslin Street, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/2529-Lakeview-Elementary-School/,Public district,K-5,508,24:1,Little Lake City Elementary School District
5,Santa Fe Springs Christian School,Unrated,"11434 Otto Street, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/10665-Santa-Fe-Springs-Christian-School/,Private,K-8,127,N/A,N/A
6,Family Center,Unrated,"10349 Heritage Park Drive, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/22771-Family-Center/,Private,PK,N/A,N/A,N/A
7,Bloomfield Center Day Care,Unrated,"11015 Bloomfield, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/22773-Bloomfield-Center-Day-Care/,Private,PK,N/A,N/A,N/A
8,Plaza de la Raza Head Start Jersey,Unrated,"1500 Joslin St, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/22777-Plaza-De-La-Raza-Head-Start-Jersey/,Private,PK,N/A,N/A,N/A
9,Kidzone Christian Pre-School,Unrated,"Po Box 4444, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/28129-Kidzone-Christian-Pre-School/,Private,PK,N/A,N/A,N/A
10,Rancho Head Start,Unrated,"9329 Alburtis Avenue, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/29257-Rancho-Head-Start/,Private,PK,N/A,N/A,N/A
11,Lakeview Child Care Center-Santa Fe Spring,Unrated,"11710 Telegraph Road, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/30491-Lakeview-Child-Care-Center-Santa-Fe-Spring/,Private,PK,N/A,N/A,N/A
12,St Pius X Parish School,Unrated,"10855 PIONEER BLVD, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/33651-St-Pius-X-Parish-School/,Private,PK-8,155,N/A,N/A
13,St. Pius X Parish School,Unrated,"10855 Pioneer Boulevard, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/7914-St.-Pius-X-Parish-School/,Private,PK-8,198,N/A,N/A
14,St. Paul High School,Unrated,"9635 Greenleaf Avenue, Santa Fe Springs, CA, 90670",https://www.greatschools.org/california/santa-fe-springs/7958-St.-Paul-High-School/,Private,9-12,538,N/A,N/A
