,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
0,Murphy Ranch Elementary School,"9
/10","16021 Janine Drive, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/1743-Murphy-Ranch-Elementary-School/,Public district,K-5,550,26:1,East Whittier City Elementary School District
1,La Serna High School,"9
/10","15301 Youngwood Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/3062-La-Serna-High-School/,Public district,9-12,2533,26:1,Whittier Union High School District
2,Granada Middle School,"8
/10","15337 Lemon Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/1737-Granada-Middle-School/,Public district,6-8,1157,28:1,East Whittier City Elementary School District
3,Leffingwell Elementary School,"8
/10","10625 Santa Gertrudes Avenue, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/1741-Leffingwell-Elementary-School/,Public district,K-5,579,24:1,East Whittier City Elementary School District
4,Ocean View Elementary School,"8
/10","14359 2nd Street, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/1744-Ocean-View-Elementary-School/,Public district,K-5,710,26:1,East Whittier City Elementary School District
5,Meadow Green Elementary School,"8
/10","12025 Grovedale Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/2619-Meadow-Green-Elementary-School/,Public district,K-6,521,24:1,Lowell Joint School District
6,Mill Elementary School,"8
/10","4030 Workman Mill Road, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/3015-Mill-Elementary-School/,Public district,K-5,438,30:1,Whittier City Elementary School District
7,East Whittier Middle School,"7
/10","14421 Whittier Boulevard, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/1735-East-Whittier-Middle-School/,Public district,6-8,1181,27:1,East Whittier City Elementary School District
8,Evergreen Elementary School,"7
/10","12915 Helmer Drive, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/1736-Evergreen-Elementary-School/,Public district,K-5,438,23:1,East Whittier City Elementary School District
9,Hillview Middle School,"7
/10","10931 Stamy Road, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/1738-Hillview-Middle-School/,Public district,6-8,691,25:1,East Whittier City Elementary School District
10,Mulberry Elementary School,"7
/10","14029 Mulberry Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/1742-Mulberry-Elementary-School/,Public district,K-5,565,25:1,East Whittier City Elementary School District
11,Ada S. Nelson Elementary School,"7
/10","8140 Vicki Drive, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/2535-Ada-S.-Nelson-Elementary-School/,Public district,K-6,407,27:1,Los Nietos School District
