,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
0,Lakewood,Cleveland Elementary School,9,"4760 Hackett Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2552-Cleveland-Elementary-School/,Public district,K-5,469.0,21:1,Long Beach Unified School District,77.0,65.0,41.0,False,True,False,False,21-30,33.84413263636364,-118.10669806060606,0.0,4%,6%,5%,41%,<1%,<1%,6%,4%,34%
1,Lakewood,Odyssey Stem Academy,8,"3701 Michelson Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/32629-Odyssey-Stem-Academy/,Public district,9-12,136.0,Unknown,Paramount Unified School District,77.0,14.0,44.0,False,False,False,True,Unknown,33.857026688246584,-118.1476788566359,0.0,,5%,,91%,,1%,,1%,2%
2,Lakewood,Stephen Foster Elementary School,7,"5223 Bigelow Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/1540-Stephen-Foster-Elementary-School/,Public district,K-6,688.0,30:1,Bellflower Unified School District,57.0,44.0,43.0,False,True,False,False,21-30,33.8580752,-118.1309086,0.0,7%,9%,6%,53%,1%,1%,3%,1%,19%
3,Lakewood,Gompers K-8,7,"5206 Briercrest Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2562-Gompers-K-8/,Public district,K-8,700.0,24:1,Long Beach Unified School District,52.0,45.0,25.0,False,True,True,False,21-30,33.85228920275071,-118.12304118714862,0.0,7%,9%,2%,51%,<1%,1%,5%,4%,21%
4,Lakewood,Holmes Elementary School,7,"5020 Barlin Avenue, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2568-Holmes-Elementary-School/,Public district,K-5,383.0,20:1,Long Beach Unified School District,51.0,43.0,24.0,False,True,False,False,16-20,33.8495001,-118.14789455,0.0,6%,36%,5%,34%,,2%,7%,5%,5%
5,Lakewood,Macarthur Elementary School,7,"6011 Centralia Street, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2585-Macarthur-Elementary-School/,Public district,K-5,374.0,25:1,Long Beach Unified School District,59.0,53.0,38.0,False,True,False,False,21-30,33.839603016067954,-118.11458674004837,0.0,5%,9%,3%,45%,<1%,1%,9%,4%,24%
6,Lakewood,Madison Elementary School,7,"2801 Bomberry Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2586-Madison-Elementary-School/,Public district,K-5,357.0,22:1,Long Beach Unified School District,60.0,49.0,38.0,False,True,False,False,21-30,33.838556660582746,-118.15879148745206,0.0,13%,15%,4%,43%,,3%,8%,4%,10%
7,Lakewood,Intensive Learning Center,6,"4718 Michelson Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/12653-Intensive-Learning-Center/,Public district,K-6,761.0,25:1,Bellflower Unified School District,49.0,32.0,39.0,False,True,False,False,21-30,33.85726227272727,-118.13704954545454,0.0,5%,19%,4%,60%,1%,,3%,,9%
8,Lakewood,Palms Elementary School,6,"12445 207th Street, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1425-Palms-Elementary-School/,Public district,K-6,657.0,27:1,Abc Unified School District,45.0,37.0,39.0,False,True,False,False,21-30,33.842414,-118.06627475,0.0,5%,16%,10%,58%,,1%,2%,1%,7%
9,Lakewood,Riley Elementary School,6,"3319 Sandwood Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2599-Riley-Elementary-School/,Public district,K-5,383.0,21:1,Long Beach Unified School District,47.0,38.0,26.0,False,True,False,False,21-30,33.843944175057544,-118.1529083779876,0.0,8%,15%,5%,54%,1%,1%,8%,,8%
