,school_name,English,Math,Science
0,A. E. Arnold Elementary School,64%,61%,43%
1,ABC Secondary (Alternative) School,22%,5%,5%
2,Ada S. Nelson Elementary School,55%,45%,32%
3,Addams Elementary School,34%,27%,18%
4,Aeolian Elementary School,42%,24%,19%
5,Alameda Elementary School,42%,36%,21%
6,Albert Baxter Elementary School,45%,39%,21%
7,Aloha Elementary School,37%,25%,13%
8,Anna M. Glazier Elementary School,30%,19%,14%
9,Artesia High School,51%,16%,20%
10,Arturo Sanchez Elementary School,34%,27%,15%
11,Bancroft Middle School,53%,39%,29%
12,Barton Elementary School,23%,14%,16%
13,Beach High-Intensive Learning Program,47%,32%,22%
14,Bellflower Alternative Education Center,9%,9%,
15,Bellflower High School,41%,16%,14%
16,Birney Elementary School,48%,42%,24%
17,Bixby Elementary School,58%,39%,36%
18,Bragg Elementary School,70%,64%,59%
19,Bryant Elementary School,40%,25%,17%
20,Buena Vista High School,18%,<1%,5%
21,Burbank Elementary School,39%,27%,22%
22,Burcham Elementary School,73%,60%,40%
23,Burnett Elementary School,36%,28%,18%
24,Cabrillo High School,38%,9%,9%
25,California High School,68%,29%,33%
26,Captain Raymond Collins School,25%,15%,5%
27,Carmela Elementary School,29%,13%,20%
28,Carmenita Middle School,77%,60%,60%
29,Carpenter Elementary School,47%,42%,15%
30,Carver (Charles J.) Elementary School,70%,53%,46%
31,Carver Elementary School,69%,62%,49%
32,Ceres Elementary School,58%,45%,33%
33,Cerritos Elementary School,85%,73%,66%
34,Cerritos High School,81%,57%,46%
35,Cesar Chavez Elementary School,43%,36%,24%
36,Chavez Elementary School,29%,14%,13%
37,Christian Sorensen Elementary School,39%,33%,24%
38,Clara J. King Elementary School,54%,51%,41%
39,Clear Passage Educational Center,9%,,
40,Cleveland Elementary School,77%,65%,41%
41,Columbus (Christopher) High,18%,2%,6%
42,Corvallis Middle School,36%,16%,18%
43,Craig Williams Elementary School,31%,17%,14%
44,Cresson Elementary School,53%,34%,28%
45,Cubberley K-8,65%,52%,39%
46,Cypress High School,74%,48%,51%
47,D. D. Johnston Elementary School,48%,32%,17%
48,Daniel Phelan Elementary School,55%,53%,24%
49,Dooley Elementary School,35%,30%,20%
50,Doty Middle School,41%,25%,33%
51,Downey High School,65%,29%,20%
52,Earl E. Edmondson Elementary School,23%,17%,13%
53,East Whittier Middle School,56%,40%,29%
54,Edison Elementary School,29%,20%,18%
55,Educational Partnership High School,24%,2%,12%
56,El Camino High (Continuation) School,10%,1%,<1%
57,Emerson Parkside Academy,71%,52%,50%
58,Ernest S. McBride Sr. High School,73%,31%,15%
59,Ernie Pyle Elementary School,39%,23%,6%
60,Esther Lindstrom Elementary School,42%,33%,34%
61,Eunice Sato Academy Of Math & Science,96%,77%,60%
62,Evergreen Elementary School,48%,43%,26%
63,Francis Hopkinson Elementary School,87%,86%,58%
64,Frank E. Woodruff Elementary School,22%,11%,8%
65,Frank Vessels Elementary School,65%,62%,52%
66,Franklin Classical Middle School,41%,22%,15%
67,Fremont Elementary School,73%,66%,66%
68,Frontier High (Continuation) School,17%,2%,10%
69,Gahr (Richard) High School,74%,43%,39%
70,Gallatin Elementary School,47%,40%,27%
71,Gant Elementary School,82%,74%,60%
72,Garfield Elementary School,39%,30%,19%
73,Gauldin Elementary School,30%,18%,12%
74,Gompers K-8,52%,45%,25%
75,Gonsalves (Joe A.) Elementary School,87%,79%,73%
76,Granada Middle School,63%,45%,42%
77,Grant Elementary School,36%,27%,18%
78,Griffiths Middle School,44%,35%,38%
79,Hamilton Middle School,38%,25%,18%
80,Harte Elementary School,32%,25%,14%
81,Haskell (Pliny Fisk) Middle School,52%,37%,32%
82,Helen Keller Middle,68%,45%,37%
83,Henry K-8,65%,59%,42%
84,Hillview Middle School,49%,29%,40%
85,Holmes Elementary School,51%,43%,24%
86,Hoover Middle School,40%,15%,17%
87,Howard J. Mckibben Elementary School,34%,22%,12%
88,Hudson K-8,31%,21%,5%
89,Hughes Middle School,50%,38%,28%
90,IVA - Intellectual Virtues Academy Middle School,69%,55%,57%
91,Imperial Elementary School,38%,38%,
92,Intellectual Virtues Academy,34%,4%,8%
93,Intensive Learning Center,49%,32%,39%
94,International Elementary School,33%,18%,22%
95,Jack L. Weaver Elementary School,90%,88%,68%
96,Jefferson Leadership Academies School,47%,24%,16%
97,Jersey Avenue Elementary School,55%,29%,27%
98,John Dolland Elementary School,39%,35%,11%
99,John H. Glenn High School,33%,15%,14%
100,John H. Nuffer Elementary School,28%,21%,12%
101,Jordan Elementary School,44%,37%,35%
102,Jordan High School,31%,6%,7%
103,Juarez (Benito) Elementary School,42%,27%,27%
104,Julia B. Morrison Elementary School,52%,48%,35%
105,Juliet Morris Elementary School,74%,68%,66%
106,Katherine Edwards Middle School,42%,28%,18%
107,Kettering Elementary School,78%,73%,60%
108,King Elementary School,33%,21%,18%
109,La Colima Elementary School,46%,42%,26%
110,La Serna High School,74%,41%,43%
111,Lafayette Elementary School,37%,29%,17%
112,Lake Center Middle,59%,30%,27%
