,school_name,subject_name,subject_score
0,Albert Baxter Elementary School,English ,45%
1,Albert Baxter Elementary School,Math ,39%
2,Albert Baxter Elementary School,Science ,21%
3,Bellflower High School,English ,41%
4,Bellflower High School,Math ,16%
5,Bellflower High School,Science ,14%
6,Thomas Jefferson Elementary School,English ,36%
7,Thomas Jefferson Elementary School,Math ,28%
8,Thomas Jefferson Elementary School,Science ,19%
9,Ramona Elementary School,Math ,27%
10,Ramona Elementary School,English ,35%
11,Ramona Elementary School,Science ,12%
12,Ernie Pyle Elementary School,Math ,23%
13,Ernie Pyle Elementary School,English ,39%
14,Ernie Pyle Elementary School,Science ,6%
15,Washington Elementary School,English ,26%
16,Washington Elementary School,Math ,12%
17,Washington Elementary School,Science ,16%
18,Frank E. Woodruff Elementary School,Math ,11%
19,Frank E. Woodruff Elementary School,English ,22%
20,Frank E. Woodruff Elementary School,Science ,8%
21,Bellflower Alternative Education Center,English ,9%
22,Bellflower Alternative Education Center,Math ,9%
23,Somerset Continuation High School,Math ,<1%
24,Somerset Continuation High School,English ,9%
25,Somerset Continuation High School,Science ,<1%
26,Las Flores Home Education Independent Study Academy,English ,48%
27,Las Flores Home Education Independent Study Academy,Math ,22%
28,Las Flores Home Education Independent Study Academy,Science ,24%
