,school_name,subject_name,subject_score
0,Whitney High School,Math ,98%
1,Whitney High School,English ,99%
2,Whitney High School,Science ,93%
3,Wittmann (Helen) Elementary School,Math ,74%
4,Wittmann (Helen) Elementary School,English ,87%
5,Wittmann (Helen) Elementary School,Science ,74%
6,Carmenita Middle School,English ,77%
7,Carmenita Middle School,Math ,60%
8,Carmenita Middle School,Science ,60%
9,Cerritos Elementary School,English ,85%
10,Cerritos Elementary School,Math ,73%
11,Cerritos Elementary School,Science ,66%
12,Cerritos High School,Science ,46%
13,Cerritos High School,English ,81%
14,Cerritos High School,Math ,57%
15,Gonsalves (Joe A.) Elementary School,Math ,79%
16,Gonsalves (Joe A.) Elementary School,English ,87%
17,Gonsalves (Joe A.) Elementary School,Science ,73%
18,Leal (Frank C.) Elementary School,English ,89%
19,Leal (Frank C.) Elementary School,Math ,79%
20,Leal (Frank C.) Elementary School,Science ,78%
21,Nixon (Patricia) Elementary School,English ,75%
22,Nixon (Patricia) Elementary School,Math ,67%
23,Nixon (Patricia) Elementary School,Science ,67%
24,Stowers(Cecil B.) Elementary School,English ,71%
25,Stowers(Cecil B.) Elementary School,Math ,65%
26,Stowers(Cecil B.) Elementary School,Science ,61%
27,Bragg Elementary School,Math ,64%
28,Bragg Elementary School,English ,70%
29,Bragg Elementary School,Science ,59%
30,Carver (Charles J.) Elementary School,Math ,53%
31,Carver (Charles J.) Elementary School,English ,70%
32,Carver (Charles J.) Elementary School,Science ,46%
33,Gahr (Richard) High School,Science ,39%
34,Gahr (Richard) High School,English ,74%
35,Gahr (Richard) High School,Math ,43%
36,Tetzlaff (Martin B.) Middle School,English ,65%
37,Tetzlaff (Martin B.) Middle School,Math ,41%
38,Tetzlaff (Martin B.) Middle School,Science ,49%
39,Haskell (Pliny Fisk) Middle School,Math ,37%
40,Haskell (Pliny Fisk) Middle School,English ,52%
41,Haskell (Pliny Fisk) Middle School,Science ,32%
42,Juarez (Benito) Elementary School,Math ,27%
43,Juarez (Benito) Elementary School,English ,42%
44,Juarez (Benito) Elementary School,Science ,27%
45,ABC Secondary (Alternative) School,Math ,5%
46,ABC Secondary (Alternative) School,English ,22%
47,ABC Secondary (Alternative) School,Science ,5%
48,Tracy (Wilbur) High (Continuation) School,English ,11%
49,Tracy (Wilbur) High (Continuation) School,Math ,1%
50,Tracy (Wilbur) High (Continuation) School,Science ,5%
