,school_name,subject_name,subject_score
0,Prisk Elementary School,Math ,74%
1,Prisk Elementary School,English ,80%
2,Prisk Elementary School,Science ,77%
3,Eunice Sato Academy Of Math & Science,English ,96%
4,Eunice Sato Academy Of Math & Science,Math ,77%
5,Eunice Sato Academy Of Math & Science,Science ,60%
6,Gant Elementary School,Math ,74%
7,Gant Elementary School,English ,82%
8,Gant Elementary School,Science ,60%
9,Henry K-8,English ,65%
10,Henry K-8,Math ,59%
11,Henry K-8,Science ,42%
12,Kettering Elementary School,Math ,73%
13,Kettering Elementary School,English ,78%
14,Kettering Elementary School,Science ,60%
15,Los Cerritos Elementary School,English ,74%
16,Los Cerritos Elementary School,Math ,65%
17,Los Cerritos Elementary School,Science ,60%
18,Naples Elementary School,English ,87%
19,Naples Elementary School,Math ,79%
20,Naples Elementary School,Science ,80%
21,Newcomb Academy,English ,83%
22,Newcomb Academy,Math ,72%
23,Newcomb Academy,Science ,63%
24,Fremont Elementary School,English ,73%
25,Fremont Elementary School,Math ,66%
26,Fremont Elementary School,Science ,66%
27,Tincher Preparatory School,English ,68%
28,Tincher Preparatory School,Math ,57%
29,Tincher Preparatory School,Science ,37%
30,IVA - Intellectual Virtues Academy Middle School,English ,69%
31,IVA - Intellectual Virtues Academy Middle School,Math ,55%
32,IVA - Intellectual Virtues Academy Middle School,Science ,57%
33,Ernest S. McBride Sr. High School,Math ,31%
34,Ernest S. McBride Sr. High School,English ,73%
35,Ernest S. McBride Sr. High School,Science ,15%
36,Helen Keller Middle,English ,68%
37,Helen Keller Middle,Math ,45%
38,Helen Keller Middle,Science ,37%
39,Burcham Elementary School,English ,73%
40,Burcham Elementary School,Math ,60%
41,Burcham Elementary School,Science ,40%
42,Carver Elementary School,Math ,62%
43,Carver Elementary School,English ,69%
44,Carver Elementary School,Science ,49%
45,Cubberley K-8,English ,65%
46,Cubberley K-8,Math ,52%
47,Cubberley K-8,Science ,39%
48,Emerson Parkside Academy,Math ,52%
49,Emerson Parkside Academy,English ,71%
50,Emerson Parkside Academy,Science ,50%
51,Longfellow Elementary School,English ,56%
52,Longfellow Elementary School,Math ,50%
53,Longfellow Elementary School,Science ,48%
54,Lowell Elementary School,English ,67%
55,Lowell Elementary School,Math ,60%
56,Lowell Elementary School,Science ,49%
57,Marshall Academy Of The Arts,English ,65%
58,Marshall Academy Of The Arts,Math ,47%
59,Marshall Academy Of The Arts,Science ,34%
60,Rogers Middle School,English ,71%
61,Rogers Middle School,Math ,53%
62,Rogers Middle School,Science ,44%
63,Addams Elementary School,English ,34%
64,Addams Elementary School,Math ,27%
65,Addams Elementary School,Science ,18%
66,Bancroft Middle School,English ,53%
67,Bancroft Middle School,Math ,39%
68,Bancroft Middle School,Science ,29%
69,Birney Elementary School,English ,48%
70,Birney Elementary School,Math ,42%
71,Birney Elementary School,Science ,24%
72,Bixby Elementary School,Math ,39%
73,Bixby Elementary School,English ,58%
74,Bixby Elementary School,Science ,36%
75,Franklin Classical Middle School,Math ,22%
76,Franklin Classical Middle School,English ,41%
77,Franklin Classical Middle School,Science ,15%
78,Garfield Elementary School,Math ,30%
79,Garfield Elementary School,English ,39%
80,Garfield Elementary School,Science ,19%
81,Hughes Middle School,English ,50%
82,Hughes Middle School,Math ,38%
83,Hughes Middle School,Science ,28%
84,Lincoln Elementary School,Math ,33%
85,Lincoln Elementary School,English ,41%
86,Lincoln Elementary School,Science ,24%
87,Millikan High School,Math ,30%
88,Millikan High School,English ,55%
89,Millikan High School,Science ,26%
90,Stanford Middle School,Math ,48%
91,Stanford Middle School,English ,60%
92,Stanford Middle School,Science ,35%
93,Twain Elementary School,English ,51%
94,Twain Elementary School,Math ,43%
