,school_name,subject_name,subject_score
0,Lakeland Elementary School,English ,50%
1,Lakeland Elementary School,Math ,43%
2,Lakeland Elementary School,Science ,43%
3,Lakeside Middle School,English ,61%
4,Lakeside Middle School,Math ,27%
5,Lakeside Middle School,Science ,30%
6,William W. Orr Elementary School,Math ,39%
7,William W. Orr Elementary School,English ,58%
8,William W. Orr Elementary School,Science ,34%
9,Studebaker Elementary School,Math ,41%
10,Studebaker Elementary School,English ,56%
11,Studebaker Elementary School,Science ,43%
12,Julia B. Morrison Elementary School,English ,52%
13,Julia B. Morrison Elementary School,Math ,48%
14,Julia B. Morrison Elementary School,Science ,35%
15,Cresson Elementary School,Math ,34%
16,Cresson Elementary School,English ,53%
17,Cresson Elementary School,Science ,28%
18,Paddison Elementary School,Math ,40%
19,Paddison Elementary School,English ,47%
20,Paddison Elementary School,Science ,33%
21,D. D. Johnston Elementary School,Math ,32%
22,D. D. Johnston Elementary School,English ,48%
23,D. D. Johnston Elementary School,Science ,17%
24,Los Alisos Middle School,Math ,21%
25,Los Alisos Middle School,English ,40%
26,Los Alisos Middle School,Science ,21%
27,Norwalk High School,English ,56%
28,Norwalk High School,Math ,18%
29,Norwalk High School,Science ,20%
30,Corvallis Middle School,Math ,16%
31,Corvallis Middle School,English ,36%
32,Corvallis Middle School,Science ,18%
33,John Dolland Elementary School,English ,39%
34,John Dolland Elementary School,Math ,35%
35,John Dolland Elementary School,Science ,11%
36,Anna M. Glazier Elementary School,English ,30%
37,Anna M. Glazier Elementary School,Math ,19%
38,Anna M. Glazier Elementary School,Science ,14%
39,Loretta Lampton Elementary School,Math ,29%
40,Loretta Lampton Elementary School,English ,33%
41,Loretta Lampton Elementary School,Science ,12%
42,New River Elementary School,Math ,18%
43,New River Elementary School,English ,35%
44,New River Elementary School,Science ,25%
45,John H. Nuffer Elementary School,English ,28%
46,John H. Nuffer Elementary School,Math ,21%
47,John H. Nuffer Elementary School,Science ,12%
48,Arturo Sanchez Elementary School,Math ,27%
49,Arturo Sanchez Elementary School,English ,34%
50,Arturo Sanchez Elementary School,Science ,15%
51,Earl E. Edmondson Elementary School,Math ,17%
52,Earl E. Edmondson Elementary School,English ,23%
53,Earl E. Edmondson Elementary School,Science ,13%
54,John H. Glenn High School,Math ,15%
55,John H. Glenn High School,English ,33%
56,John H. Glenn High School,Science ,14%
57,Thomas B. Moffitt Elementary School,Math ,16%
58,Thomas B. Moffitt Elementary School,English ,26%
59,Thomas B. Moffitt Elementary School,Science ,11%
60,Nettie L. Waite Middle School,Math ,7%
61,Nettie L. Waite Middle School,English ,25%
62,Nettie L. Waite Middle School,Science ,10%
63,Cesar Chavez Elementary School,English ,43%
64,Cesar Chavez Elementary School,Math ,36%
65,Cesar Chavez Elementary School,Science ,24%
