,school_name,subject_name,subject_score
0,Murphy Ranch Elementary School,Math ,71%
1,Murphy Ranch Elementary School,English ,79%
2,Murphy Ranch Elementary School,Science ,64%
3,La Serna High School,Math ,41%
4,La Serna High School,English ,74%
5,La Serna High School,Science ,43%
6,Granada Middle School,English ,63%
7,Granada Middle School,Math ,45%
8,Granada Middle School,Science ,42%
9,Leffingwell Elementary School,Math ,65%
10,Leffingwell Elementary School,English ,74%
11,Leffingwell Elementary School,Science ,45%
12,Ocean View Elementary School,Math ,66%
13,Ocean View Elementary School,English ,73%
14,Ocean View Elementary School,Science ,48%
15,Meadow Green Elementary School,English ,70%
16,Meadow Green Elementary School,Math ,50%
17,Meadow Green Elementary School,Science ,53%
18,Mill Elementary School,Math ,55%
19,Mill Elementary School,English ,54%
20,Mill Elementary School,Science ,35%
21,East Whittier Middle School,English ,56%
22,East Whittier Middle School,Math ,40%
23,East Whittier Middle School,Science ,29%
24,Evergreen Elementary School,Math ,43%
25,Evergreen Elementary School,English ,48%
26,Evergreen Elementary School,Science ,26%
27,Hillview Middle School,Math ,29%
28,Hillview Middle School,English ,49%
29,Hillview Middle School,Science ,40%
30,Mulberry Elementary School,Math ,46%
31,Mulberry Elementary School,English ,50%
32,Mulberry Elementary School,Science ,35%
33,Ada S. Nelson Elementary School,Math ,45%
34,Ada S. Nelson Elementary School,English ,55%
35,Ada S. Nelson Elementary School,Science ,32%
36,Rancho-Starbuck Intermediate School,English ,56%
37,Rancho-Starbuck Intermediate School,Math ,31%
38,Rancho-Starbuck Intermediate School,Science ,34%
39,Daniel Phelan Elementary School,English ,55%
40,Daniel Phelan Elementary School,Math ,53%
41,Daniel Phelan Elementary School,Science ,24%
42,California High School,English ,68%
43,California High School,Math ,29%
44,California High School,Science ,33%
45,Pioneer High School,English ,57%
46,Pioneer High School,Math ,26%
47,Pioneer High School,Science ,20%
48,Ceres Elementary School,English ,58%
49,Ceres Elementary School,Math ,45%
50,Ceres Elementary School,Science ,33%
51,Orchard Dale Elementary School,English ,51%
52,Orchard Dale Elementary School,Math ,38%
53,Orchard Dale Elementary School,Science ,30%
54,Scott Avenue Elementary School,English ,49%
55,Scott Avenue Elementary School,Math ,44%
56,Scott Avenue Elementary School,Science ,31%
57,Aeolian Elementary School,Math ,24%
58,Aeolian Elementary School,English ,42%
59,Aeolian Elementary School,Science ,19%
60,Wallen L. Andrews Elementary School,Math ,36%
61,Wallen L. Andrews Elementary School,English ,49%
62,Wallen L. Andrews Elementary School,Science ,34%
63,Katherine Edwards Middle School,English ,42%
64,Katherine Edwards Middle School,Math ,28%
65,Katherine Edwards Middle School,Science ,18%
66,Christian Sorensen Elementary School,Math ,33%
67,Christian Sorensen Elementary School,English ,39%
68,Christian Sorensen Elementary School,Science ,24%
69,Whittier High School,English ,52%
70,Whittier High School,Math ,33%
71,Whittier High School,Science ,22%
72,La Colima Elementary School,English ,46%
73,La Colima Elementary School,Math ,42%
74,La Colima Elementary School,Science ,26%
75,Jordan Elementary School,English ,44%
76,Jordan Elementary School,Math ,37%
77,Jordan Elementary School,Science ,35%
78,Longfellow Elementary School,English ,38%
79,Longfellow Elementary School,Math ,35%
80,Longfellow Elementary School,Science ,14%
81,Orange Grove Elementary School,Math ,29%
82,Orange Grove Elementary School,English ,37%
83,Orange Grove Elementary School,Science ,17%
84,West Whittier Elementary School,Math ,34%
85,West Whittier Elementary School,English ,40%
86,West Whittier Elementary School,Science ,23%
87,Laurel Elementary School,English ,34%
88,Laurel Elementary School,Math ,26%
89,Laurel Elementary School,Science ,22%
90,Carmela Elementary School,Math ,13%
91,Carmela Elementary School,English ,29%
92,Carmela Elementary School,Science ,20%
93,Loma Vista Elementary School,Math ,17%
94,Loma Vista Elementary School,English ,26%
95,Loma Vista Elementary School,Science ,28%
96,Howard J. Mckibben Elementary School,English ,34%
97,Howard J. Mckibben Elementary School,Math ,22%
98,Howard J. Mckibben Elementary School,Science ,12%
99,Walter F. Dexter Middle School,Math ,15%
100,Walter F. Dexter Middle School,English ,33%
101,Walter F. Dexter Middle School,Science ,12%
102,Lou Henry Hoover Elementary School,Math ,26%
103,Lou Henry Hoover Elementary School,English ,49%
104,Lou Henry Hoover Elementary School,Science ,8%
105,Lydia Jackson Elementary School,Math ,15%
106,Lydia Jackson Elementary School,English ,29%
107,Lydia Jackson Elementary School,Science ,14%
108,Lake Marie Elementary School,English ,33%
109,Lake Marie Elementary School,Math ,12%
110,Lake Marie Elementary School,Science ,20%
111,Los Altos Elementary School,Math ,15%
112,Los Altos Elementary School,English ,29%
113,Los Altos Elementary School,Science ,10%
114,Richard L. Graves Middle School,English ,31%
115,Richard L. Graves Middle School,Math ,13%
116,Richard L. Graves Middle School,Science ,10%
117,Sierra Vista High (Alternative) School,English ,36%
118,Sierra Vista High (Alternative) School,Math ,6%
119,Sierra Vista High (Alternative) School,Science ,15%
120,Whittier Area Community Day School,Math ,<1%
121,Whittier Area Community Day School,English ,12%
122,Whittier Area Community Day School,Science ,9%
123,El Camino High (Continuation) School,English ,10%
124,El Camino High (Continuation) School,Math ,1%
125,El Camino High (Continuation) School,Science ,<1%
126,Frontier High (Continuation) School,English ,17%
127,Frontier High (Continuation) School,Math ,2%
128,Frontier High (Continuation) School,Science ,10%
